date,type,value,unit,model
2024-08-25 11:40:06,5,59.47,-2,Body Smart
2024-08-25 11:40:06,8,15.35,-2,Body Smart
2024-08-25 11:40:06,76,56.5,-2,Body Smart
2024-08-25 11:40:06,77,41.96,-2,Body Smart
2024-08-25 11:40:06,88,2.97,-2,Body Smart
2024-08-25 11:40:06,170,2.9000000000000004,-1,Body Smart
2024-08-25 11:40:06,226,1725.0,0,Body Smart
2024-08-25 11:40:06,6,20.512,-3,Body Smart
2024-08-25 08:14:32,1,75.21600000000001,-3,Body Smart
2024-08-25 08:14:32,5,59.26,-2,Body Smart
2024-08-25 08:14:32,8,15.94,-2,Body Smart
2024-08-25 08:14:32,76,56.300000000000004,-2,Body Smart
2024-08-25 08:14:32,77,41.53,-2,Body Smart
2024-08-25 08:14:32,88,2.96,-2,Body Smart
2024-08-25 08:14:32,170,3.0,-1,Body Smart
2024-08-25 08:14:32,226,1719.0,0,Body Smart
2024-08-25 08:14:32,6,21.192,-3,Body Smart
2024-08-25 06:41:11,1,75.312,-3,Body Smart
2024-08-25 06:41:11,5,58.980000000000004,-2,Body Smart
2024-08-25 06:41:11,8,16.32,-2,Body Smart
2024-08-25 06:41:11,76,56.04,-2,Body Smart
2024-08-25 06:41:11,77,41.07,-2,Body Smart
2024-08-25 06:41:11,88,2.94,-2,Body Smart
2024-08-25 06:41:11,170,3.0,-1,Body Smart
2024-08-25 06:41:11,226,1711.0,0,Body Smart
2024-08-25 06:41:11,6,21.67,-3,Body Smart
2024-08-24 10:09:57,1,75.407,-3,Body Smart
2024-08-24 10:09:57,5,59.46,-2,Body Smart
2024-08-24 10:09:57,8,15.94,-2,Body Smart
2024-08-24 10:09:57,76,56.49,-2,Body Smart
2024-08-24 10:09:57,77,41.96,-2,Body Smart
2024-08-24 10:09:57,88,2.97,-2,Body Smart
2024-08-24 10:09:57,170,3.0,-1,Body Smart
2024-08-24 10:09:57,226,1725.0,0,Body Smart
2024-08-24 10:09:57,6,21.139,-3,Body Smart
2024-08-24 06:37:43,1,75.431,-3,Body Smart
2024-08-24 06:37:43,5,59.03,-2,Body Smart
2024-08-24 06:37:43,8,16.39,-2,Body Smart
2024-08-24 06:37:43,76,56.08,-2,Body Smart
2024-08-24 06:37:43,77,41.21,-2,Body Smart
2024-08-24 06:37:43,88,2.94,-2,Body Smart
2024-08-24 06:37:43,170,3.1,-1,Body Smart
2024-08-24 06:37:43,226,1713.0,0,Body Smart
2024-08-24 06:37:43,6,21.728,-3,Body Smart
2024-08-23 10:45:52,1,76.59100000000001,-3,Body Smart
2024-08-23 10:45:52,5,60.68,-2,Body Smart
2024-08-23 10:45:52,8,15.9,-2,Body Smart
2024-08-23 10:45:52,76,57.64,-2,Body Smart
2024-08-23 10:45:52,77,43.910000000000004,-2,Body Smart
2024-08-23 10:45:52,88,3.0300000000000002,-2,Body Smart
2024-08-23 10:45:52,170,2.9000000000000004,-1,Body Smart
2024-08-23 10:45:52,226,1762.0,0,Body Smart
2024-08-23 10:45:52,6,20.76,-3,Body Smart
2024-08-23 04:34:07,1,77.38,-3,Body Smart
2024-08-23 04:34:07,5,60.45,-2,Body Smart
2024-08-23 04:34:07,8,16.92,-2,Body Smart
2024-08-23 04:34:07,76,57.43,-2,Body Smart
2024-08-23 04:34:07,77,42.7,-2,Body Smart
2024-08-23 04:34:07,88,3.0100000000000002,-2,Body Smart
2024-08-23 04:34:07,170,3.1,-1,Body Smart
2024-08-23 04:34:07,226,1757.0,0,Body Smart
2024-08-23 04:34:07,6,21.866,-3,Body Smart
2024-08-22 04:17:58,1,76.352,-3,Body Smart
2024-08-22 04:17:58,5,60.14,-2,Body Smart
2024-08-22 04:17:58,8,16.2,-2,Body Smart
2024-08-22 04:17:58,76,57.14,-2,Body Smart
2024-08-22 04:17:58,77,42.51,-2,Body Smart
2024-08-22 04:17:58,88,3.0,-2,Body Smart
2024-08-22 04:17:58,170,3.0,-1,Body Smart
2024-08-22 04:17:58,226,1746.0,0,Body Smart
2024-08-22 04:17:58,6,21.218,-3,Body Smart
2024-08-21 17:31:46,1,76.758,-3,Body Smart
2024-08-21 17:31:46,5,61.03,-2,Body Smart
2024-08-21 17:31:46,8,15.72,-2,Body Smart
2024-08-21 17:31:46,76,57.980000000000004,-2,Body Smart
2024-08-21 17:31:46,77,44.58,-2,Body Smart
2024-08-21 17:31:46,88,3.0500000000000003,-2,Body Smart
2024-08-21 17:31:46,170,2.9000000000000004,-1,Body Smart
2024-08-21 17:31:46,226,1773.0,0,Body Smart
2024-08-21 17:31:46,6,20.48,-3,Body Smart
2024-08-21 04:13:23,1,76.507,-3,Body Smart
2024-08-21 04:13:23,5,60.44,-2,Body Smart
2024-08-21 04:13:23,8,16.06,-2,Body Smart
2024-08-21 04:13:23,76,57.42,-2,Body Smart
2024-08-21 04:13:23,77,42.980000000000004,-2,Body Smart
2024-08-21 04:13:23,88,3.02,-2,Body Smart
2024-08-21 04:13:23,170,3.0,-1,Body Smart
2024-08-21 04:13:23,226,1755.0,0,Body Smart
2024-08-21 04:13:23,6,20.992,-3,Body Smart
2024-08-20 20:34:02,1,77.774,-3,Body Smart
2024-08-20 20:34:02,5,61.730000000000004,-2,Body Smart
2024-08-20 20:34:02,8,16.04,-2,Body Smart
2024-08-20 20:34:02,76,58.64,-2,Body Smart
2024-08-20 20:34:02,77,45.44,-2,Body Smart
2024-08-20 20:34:02,88,3.08,-2,Body Smart
2024-08-20 20:34:02,170,2.9000000000000004,-1,Body Smart
2024-08-20 20:34:02,226,1794.0,0,Body Smart
2024-08-20 20:34:02,6,20.624,-3,Body Smart
2024-08-20 04:43:36,1,75.897,-3,Body Smart
2024-08-20 04:43:36,5,59.78,-2,Body Smart
2024-08-20 04:43:36,8,16.11,-2,Body Smart
2024-08-20 04:43:36,76,56.79,-2,Body Smart
2024-08-20 04:43:36,77,42.13,-2,Body Smart
2024-08-20 04:43:36,88,2.98,-2,Body Smart
2024-08-20 04:43:36,170,3.0,-1,Body Smart
2024-08-20 04:43:36,226,1735.0,0,Body Smart
2024-08-20 04:43:36,6,21.226,-3,Body Smart
2024-08-19 06:09:07,1,76.328,-3,Body Smart
2024-08-19 06:09:07,5,60.32,-2,Body Smart
2024-08-19 06:09:07,8,16.0,-2,Body Smart
2024-08-19 06:09:07,76,57.31,-2,Body Smart
2024-08-19 06:09:07,77,43.08,-2,Body Smart
2024-08-19 06:09:07,88,3.0100000000000002,-2,Body Smart
2024-08-19 06:09:07,170,3.0,-1,Body Smart
2024-08-19 06:09:07,226,1751.0,0,Body Smart
2024-08-19 06:09:07,6,20.962,-3,Body Smart
2024-08-18 19:38:04,1,76.901,-3,Body Smart
2024-08-18 19:38:04,5,61.84,-2,Body Smart
2024-08-18 19:38:04,8,15.05,-2,Body Smart
2024-08-18 19:38:04,76,58.75,-2,Body Smart
2024-08-18 19:38:04,77,45.64,-2,Body Smart
2024-08-18 19:38:04,88,3.09,-2,Body Smart
2024-08-18 19:38:04,170,2.7,-1,Body Smart
2024-08-18 19:38:04,226,1796.0,0,Body Smart
2024-08-18 19:38:04,6,19.571,-3,Body Smart
2024-08-10 01:03:42,1,76.089,-3,Body Smart
2024-08-10 01:03:42,5,60.94,-2,Body Smart
2024-08-10 01:03:42,8,15.14,-2,Body Smart
2024-08-10 01:03:42,76,57.89,-2,Body Smart
2024-08-10 01:03:42,77,44.54,-2,Body Smart
2024-08-10 01:03:42,88,3.04,-2,Body Smart
2024-08-10 01:03:42,170,2.8000000000000003,-1,Body Smart
2024-08-10 01:03:42,226,1769.0,0,Body Smart
2024-08-10 01:03:42,6,19.898,-3,Body Smart
2024-08-09 22:14:12,1,75.82600000000001,-3,Body Smart
2024-08-09 22:14:12,5,61.29,-2,Body Smart
2024-08-09 22:14:12,8,14.530000000000001,-2,Body Smart
2024-08-09 22:14:12,76,58.22,-2,Body Smart
2024-08-09 22:14:12,77,45.42,-2,Body Smart
2024-08-09 22:14:12,88,3.06,-2,Body Smart
2024-08-09 22:14:12,170,2.7,-1,Body Smart
2024-08-09 22:14:12,226,1778.0,0,Body Smart
2024-08-09 22:14:12,6,19.162,-3,Body Smart
2024-08-09 13:32:08,1,75.395,-3,Body Smart
2024-08-09 13:32:08,5,59.82,-2,Body Smart
2024-08-09 13:32:08,8,15.57,-2,Body Smart
2024-08-09 13:32:08,76,56.83,-2,Body Smart
2024-08-09 13:32:08,77,42.77,-2,Body Smart
2024-08-09 13:32:08,88,2.99,-2,Body Smart
2024-08-09 13:32:08,170,2.9000000000000004,-1,Body Smart
2024-08-09 13:32:08,226,1735.0,0,Body Smart
2024-08-09 13:32:08,6,20.651,-3,Body Smart
2024-08-09 11:31:20,1,75.336,-3,Body Smart
2024-08-09 11:31:20,5,59.74,-2,Body Smart
2024-08-09 11:31:20,8,15.59,-2,Body Smart
2024-08-09 11:31:20,76,56.75,-2,Body Smart
2024-08-09 11:31:20,77,42.7,-2,Body Smart
2024-08-09 11:31:20,88,2.98,-2,Body Smart
2024-08-09 11:31:20,170,2.9000000000000004,-1,Body Smart
2024-08-09 11:31:20,226,1733.0,0,Body Smart
2024-08-09 11:31:20,6,20.694,-3,Body Smart
2024-08-09 08:40:14,1,75.156,-3,Body Smart
2024-08-09 08:40:14,5,59.230000000000004,-2,Body Smart
2024-08-09 08:40:14,8,15.92,-2,Body Smart
2024-08-09 08:40:14,76,56.27,-2,Body Smart
2024-08-09 08:40:14,77,41.410000000000004,-2,Body Smart
2024-08-09 08:40:14,88,2.95,-2,Body Smart
2024-08-09 08:40:14,170,3.0,-1,Body Smart
2024-08-09 08:40:14,226,1718.0,0,Body Smart
2024-08-09 08:40:14,6,21.183,-3,Body Smart
2024-08-08 12:01:42,1,75.07300000000001,-3,Body Smart
2024-08-08 12:01:42,5,59.24,-2,Body Smart
2024-08-08 12:01:42,8,15.82,-2,Body Smart
2024-08-08 12:01:42,76,56.28,-2,Body Smart
2024-08-08 12:01:42,77,41.47,-2,Body Smart
2024-08-08 12:01:42,88,2.95,-2,Body Smart
2024-08-08 12:01:42,170,3.0,-1,Body Smart
2024-08-08 12:01:42,226,1718.0,0,Body Smart
2024-08-08 12:01:42,6,21.073,-3,Body Smart
2024-08-08 07:06:41,1,75.025,-3,Body Smart
2024-08-08 07:06:41,5,59.08,-2,Body Smart
2024-08-08 07:06:41,8,15.93,-2,Body Smart
2024-08-08 07:06:41,76,56.13,-2,Body Smart
2024-08-08 07:06:41,77,41.38,-2,Body Smart
2024-08-08 07:06:41,88,2.95,-2,Body Smart
2024-08-08 07:06:41,170,3.0,-1,Body Smart
2024-08-08 07:06:41,226,1714.0,0,Body Smart
2024-08-08 07:06:41,6,21.233,-3,Body Smart
2024-08-08 06:54:23,1,75.407,-3,Body Smart
2024-08-08 06:54:23,5,59.07,-2,Body Smart
2024-08-08 06:54:23,8,16.330000000000002,-2,Body Smart
2024-08-08 06:54:23,76,56.120000000000005,-2,Body Smart
2024-08-08 06:54:23,77,41.14,-2,Body Smart
2024-08-08 06:54:23,88,2.94,-2,Body Smart
2024-08-08 06:54:23,170,3.0,-1,Body Smart
2024-08-08 06:54:23,226,1714.0,0,Body Smart
2024-08-08 06:54:23,6,21.656,-3,Body Smart
2024-08-07 21:15:21,1,75.754,-3,Body Smart
2024-08-07 21:15:21,5,59.65,-2,Body Smart
2024-08-07 21:15:21,8,16.1,-2,Body Smart
2024-08-07 21:15:21,76,56.67,-2,Body Smart
2024-08-07 21:15:21,77,41.99,-2,Body Smart
2024-08-07 21:15:21,88,2.97,-2,Body Smart
2024-08-07 21:15:21,170,3.0,-1,Body Smart
2024-08-07 21:15:21,226,1731.0,0,Body Smart
2024-08-07 21:15:21,6,21.253,-3,Body Smart
2024-08-07 10:22:58,1,75.061,-3,Body Smart
2024-08-07 10:22:58,5,59.95,-2,Body Smart
2024-08-07 10:22:58,8,15.1,-2,Body Smart
2024-08-07 10:22:58,76,56.95,-2,Body Smart
2024-08-07 10:22:58,77,42.63,-2,Body Smart
2024-08-07 10:22:58,88,2.99,-2,Body Smart
2024-08-07 10:22:58,170,2.8000000000000003,-1,Body Smart
2024-08-07 10:22:58,226,1739.0,0,Body Smart
2024-08-07 10:22:58,6,20.117,-3,Body Smart
2024-08-07 09:02:11,1,75.479,-3,Body Smart
2024-08-07 09:02:11,5,59.800000000000004,-2,Body Smart
2024-08-07 09:02:11,8,15.67,-2,Body Smart
2024-08-07 09:02:11,76,56.81,-2,Body Smart
2024-08-07 09:02:11,77,42.410000000000004,-2,Body Smart
2024-08-07 09:02:11,88,2.98,-2,Body Smart
